word,token_count,char_count,avg_byte_length,tokens_per_char,chars_per_token
a,1,1,1.0,1.0,1.0
aa,1,2,2.0,0.5,2.0
aaa,1,3,3.0,0.3333333333333333,3.0
aaron,2,5,2.5,0.4,2.5
ab,1,2,2.0,0.5,2.0
abandoned,2,9,4.5,0.2222222222222222,4.5
abc,1,3,3.0,0.3333333333333333,3.0
aberdeen,3,8,2.6666666666666665,0.375,2.6666666666666665
abilities,1,9,9.0,0.1111111111111111,9.0
ability,1,7,7.0,0.14285714285714285,7.0
able,1,4,4.0,0.25,4.0
aboriginal,2,10,5.0,0.2,5.0
abortion,2,8,4.0,0.25,4.0
about,1,5,5.0,0.2,5.0
above,1,5,5.0,0.2,5.0
abraham,2,7,3.5,0.2857142857142857,3.5
abroad,2,6,3.0,0.3333333333333333,3.0
abs,1,3,3.0,0.3333333333333333,3.0
absence,1,7,7.0,0.14285714285714285,7.0
absent,2,6,3.0,0.3333333333333333,3.0
absolute,1,8,8.0,0.125,8.0
absolutely,2,10,5.0,0.2,5.0
absorption,2,10,5.0,0.2,5.0
abstract,1,8,8.0,0.125,8.0
abstracts,2,9,4.5,0.2222222222222222,4.5
abu,1,3,3.0,0.3333333333333333,3.0
abuse,2,5,2.5,0.4,2.5
ac,1,2,2.0,0.5,2.0
academic,1,8,8.0,0.125,8.0
academics,2,9,4.5,0.2222222222222222,4.5
academy,1,7,7.0,0.14285714285714285,7.0
acc,1,3,3.0,0.3333333333333333,3.0
accent,1,6,6.0,0.16666666666666666,6.0
accept,1,6,6.0,0.16666666666666666,6.0
acceptable,1,10,10.0,0.1,10.0
acceptance,2,10,5.0,0.2,5.0
accepted,1,8,8.0,0.125,8.0
accepting,2,9,4.5,0.2222222222222222,4.5
accepts,2,7,3.5,0.2857142857142857,3.5
access,1,6,6.0,0.16666666666666666,6.0
accessed,2,8,4.0,0.25,4.0
accessibility,2,13,6.5,0.15384615384615385,6.5
accessible,1,10,10.0,0.1,10.0
accessing,2,9,4.5,0.2222222222222222,4.5
accessories,2,11,5.5,0.18181818181818182,5.5
accessory,2,9,4.5,0.2222222222222222,4.5
accident,2,8,4.0,0.25,4.0
accidents,2,9,4.5,0.2222222222222222,4.5
accommodate,3,11,3.6666666666666665,0.2727272727272727,3.6666666666666665
accommodation,2,13,6.5,0.15384615384615385,6.5
accommodations,3,14,4.666666666666667,0.21428571428571427,4.666666666666667
accompanied,3,11,3.6666666666666665,0.2727272727272727,3.6666666666666665
accompanying,3,12,4.0,0.25,4.0
accomplish,3,10,3.3333333333333335,0.3,3.3333333333333335
accomplished,3,12,4.0,0.25,4.0
accordance,2,10,5.0,0.2,5.0
according,1,9,9.0,0.1111111111111111,9.0
accordingly,2,11,5.5,0.18181818181818182,5.5
account,1,7,7.0,0.14285714285714285,7.0
accountability,2,14,7.0,0.14285714285714285,7.0
accounting,2,10,5.0,0.2,5.0
accounts,1,8,8.0,0.125,8.0
accreditation,3,13,4.333333333333333,0.23076923076923078,4.333333333333333
accredited,2,10,5.0,0.2,5.0
accuracy,1,8,8.0,0.125,8.0
accurate,2,8,4.0,0.25,4.0
accurately,2,10,5.0,0.2,5.0
accused,2,7,3.5,0.2857142857142857,3.5
acdbentity,3,10,3.3333333333333335,0.3,3.3333333333333335
ace,1,3,3.0,0.3333333333333333,3.0
acer,1,4,4.0,0.25,4.0
achieve,2,7,3.5,0.2857142857142857,3.5
achieved,2,8,4.0,0.25,4.0
achievement,1,11,11.0,0.09090909090909091,11.0
achievements,2,12,6.0,0.16666666666666666,6.0
achieving,2,9,4.5,0.2222222222222222,4.5
acid,1,4,4.0,0.25,4.0
acids,2,5,2.5,0.4,2.5
acknowledge,3,11,3.6666666666666665,0.2727272727272727,3.6666666666666665
acknowledged,3,12,4.0,0.25,4.0
acm,2,3,1.5,0.6666666666666666,1.5
acne,2,4,2.0,0.5,2.0
acoustic,2,8,4.0,0.25,4.0
acquire,2,7,3.5,0.2857142857142857,3.5
acquired,2,8,4.0,0.25,4.0
acquisition,2,11,5.5,0.18181818181818182,5.5
acquisitions,3,12,4.0,0.25,4.0
acre,1,4,4.0,0.25,4.0
acres,2,5,2.5,0.4,2.5
acrobat,2,7,3.5,0.2857142857142857,3.5
across,2,6,3.0,0.3333333333333333,3.0
acrylic,3,7,2.3333333333333335,0.42857142857142855,2.3333333333333335
act,1,3,3.0,0.3333333333333333,3.0
acting,1,6,6.0,0.16666666666666666,6.0
action,1,6,6.0,0.16666666666666666,6.0
actions,1,7,7.0,0.14285714285714285,7.0
activated,1,9,9.0,0.1111111111111111,9.0
activation,1,10,10.0,0.1,10.0
active,1,6,6.0,0.16666666666666666,6.0
actively,1,8,8.0,0.125,8.0
activists,2,9,4.5,0.2222222222222222,4.5
activities,1,10,10.0,0.1,10.0
activity,1,8,8.0,0.125,8.0
actor,1,5,5.0,0.2,5.0
actors,1,6,6.0,0.16666666666666666,6.0
actress,2,7,3.5,0.2857142857142857,3.5
acts,1,4,4.0,0.25,4.0
actual,1,6,6.0,0.16666666666666666,6.0
actually,1,8,8.0,0.125,8.0
acute,1,5,5.0,0.2,5.0
ad,1,2,2.0,0.5,2.0
ada,1,3,3.0,0.3333333333333333,3.0
adam,1,4,4.0,0.25,4.0
adams,2,5,2.5,0.4,2.5
adaptation,2,10,5.0,0.2,5.0
adapted,2,7,3.5,0.2857142857142857,3.5
adapter,1,7,7.0,0.14285714285714285,7.0
adapters,2,8,4.0,0.25,4.0
adaptive,1,8,8.0,0.125,8.0
adaptor,2,7,3.5,0.2857142857142857,3.5
add,1,3,3.0,0.3333333333333333,3.0
added,1,5,5.0,0.2,5.0
addiction,2,9,4.5,0.2222222222222222,4.5
adding,1,6,6.0,0.16666666666666666,6.0
addition,1,8,8.0,0.125,8.0
additional,1,10,10.0,0.1,10.0
additionally,2,12,6.0,0.16666666666666666,6.0
additions,2,9,4.5,0.2222222222222222,4.5
address,1,7,7.0,0.14285714285714285,7.0
addressed,2,9,4.5,0.2222222222222222,4.5
addresses,1,9,9.0,0.1111111111111111,9.0
addressing,2,10,5.0,0.2,5.0
adds,1,4,4.0,0.25,4.0
adelaide,2,8,4.0,0.25,4.0
adequate,2,8,4.0,0.25,4.0
adidas,2,6,3.0,0.3333333333333333,3.0
adipex,2,6,3.0,0.3333333333333333,3.0
adjacent,2,8,4.0,0.25,4.0
adjust,1,6,6.0,0.16666666666666666,6.0
adjustable,2,10,5.0,0.2,5.0
adjusted,2,8,4.0,0.25,4.0
adjustment,2,10,5.0,0.2,5.0
adjustments,2,11,5.5,0.18181818181818182,5.5
admin,1,5,5.0,0.2,5.0
administered,3,12,4.0,0.25,4.0
administration,2,14,7.0,0.14285714285714285,7.0
administrative,2,14,7.0,0.14285714285714285,7.0
administrator,1,13,13.0,0.07692307692307693,13.0
administrators,2,14,7.0,0.14285714285714285,7.0
admission,2,9,4.5,0.2222222222222222,4.5
admissions,2,10,5.0,0.2,5.0
admit,2,5,2.5,0.4,2.5
admitted,2,8,4.0,0.25,4.0
adobe,2,5,2.5,0.4,2.5
adolescent,2,10,5.0,0.2,5.0
adopt,2,5,2.5,0.4,2.5
adopted,3,7,2.3333333333333335,0.42857142857142855,2.3333333333333335
adoption,2,8,4.0,0.25,4.0
adrian,2,6,3.0,0.3333333333333333,3.0
ads,1,3,3.0,0.3333333333333333,3.0
adsl,2,4,2.0,0.5,2.0
adult,1,5,5.0,0.2,5.0
adults,2,6,3.0,0.3333333333333333,3.0
advance,1,7,7.0,0.14285714285714285,7.0
advanced,1,8,8.0,0.125,8.0
advancement,2,11,5.5,0.18181818181818182,5.5
advances,2,8,4.0,0.25,4.0
advantage,2,9,4.5,0.2222222222222222,4.5
advantages,1,10,10.0,0.1,10.0
adventure,2,9,4.5,0.2222222222222222,4.5
adventures,2,10,5.0,0.2,5.0
adverse,2,7,3.5,0.2857142857142857,3.5
advert,1,6,6.0,0.16666666666666666,6.0
advertise,2,9,4.5,0.2222222222222222,4.5
advertisement,2,13,6.5,0.15384615384615385,6.5
advertisements,2,14,7.0,0.14285714285714285,7.0
advertiser,2,10,5.0,0.2,5.0
advertisers,2,11,5.5,0.18181818181818182,5.5
advertising,2,11,5.5,0.18181818181818182,5.5
advice,2,6,3.0,0.3333333333333333,3.0
advise,2,6,3.0,0.3333333333333333,3.0
advised,2,7,3.5,0.2857142857142857,3.5
advisor,1,7,7.0,0.14285714285714285,7.0
advisors,3,8,2.6666666666666665,0.375,2.6666666666666665
advisory,3,8,2.6666666666666665,0.375,2.6666666666666665
advocacy,3,8,2.6666666666666665,0.375,2.6666666666666665
advocate,2,8,4.0,0.25,4.0
adware,2,6,3.0,0.3333333333333333,3.0
ae,1,2,2.0,0.5,2.0
aerial,2,6,3.0,0.3333333333333333,3.0
aerospace,3,9,3.0,0.3333333333333333,3.0
af,1,2,2.0,0.5,2.0
affair,2,6,3.0,0.3333333333333333,3.0
affairs,2,7,3.5,0.2857142857142857,3.5
affect,2,6,3.0,0.3333333333333333,3.0
affected,1,8,8.0,0.125,8.0
affecting,3,9,3.0,0.3333333333333333,3.0
affects,2,7,3.5,0.2857142857142857,3.5
affiliate,1,9,9.0,0.1111111111111111,9.0
affiliated,2,10,5.0,0.2,5.0
affiliates,3,10,3.3333333333333335,0.3,3.3333333333333335
affiliation,2,11,5.5,0.18181818181818182,5.5
afford,2,6,3.0,0.3333333333333333,3.0
affordable,2,10,5.0,0.2,5.0
afghanistan,2,11,5.5,0.18181818181818182,5.5
afraid,2,6,3.0,0.3333333333333333,3.0
africa,2,6,3.0,0.3333333333333333,3.0
african,3,7,2.3333333333333335,0.42857142857142855,2.3333333333333335
after,1,5,5.0,0.2,5.0
afternoon,2,9,4.5,0.2222222222222222,4.5
afterwards,2,10,5.0,0.2,5.0
ag,1,2,2.0,0.5,2.0
again,1,5,5.0,0.2,5.0
against,1,7,7.0,0.14285714285714285,7.0
age,1,3,3.0,0.3333333333333333,3.0
aged,1,4,4.0,0.25,4.0
agencies,2,8,4.0,0.25,4.0
agency,1,6,6.0,0.16666666666666666,6.0
agenda,1,6,6.0,0.16666666666666666,6.0
agent,1,5,5.0,0.2,5.0
agents,1,6,6.0,0.16666666666666666,6.0
ages,1,4,4.0,0.25,4.0
aggregate,1,9,9.0,0.1111111111111111,9.0
aggressive,2,10,5.0,0.2,5.0
aging,1,5,5.0,0.2,5.0
ago,1,3,3.0,0.3333333333333333,3.0
agree,1,5,5.0,0.2,5.0
agreed,2,6,3.0,0.3333333333333333,3.0
agreement,1,9,9.0,0.1111111111111111,9.0
agreements,2,10,5.0,0.2,5.0
agrees,2,6,3.0,0.3333333333333333,3.0
agricultural,3,12,4.0,0.25,4.0
agriculture,2,11,5.5,0.18181818181818182,5.5
ah,1,2,2.0,0.5,2.0
ahead,1,5,5.0,0.2,5.0
ai,1,2,2.0,0.5,2.0
aid,1,3,3.0,0.3333333333333333,3.0
aids,2,4,2.0,0.5,2.0
aim,1,3,3.0,0.3333333333333333,3.0
aimed,2,5,2.5,0.4,2.5
aims,2,4,2.0,0.5,2.0
air,1,3,3.0,0.3333333333333333,3.0
aircraft,2,8,4.0,0.25,4.0
airfare,2,7,3.5,0.2857142857142857,3.5
airline,2,7,3.5,0.2857142857142857,3.5
airlines,2,8,4.0,0.25,4.0
airplane,2,8,4.0,0.25,4.0
airport,1,7,7.0,0.14285714285714285,7.0
airports,2,8,4.0,0.25,4.0
aj,1,2,2.0,0.5,2.0
ak,1,2,2.0,0.5,2.0
aka,1,3,3.0,0.3333333333333333,3.0
al,1,2,2.0,0.5,2.0
ala,1,3,3.0,0.3333333333333333,3.0
alabama,2,7,3.5,0.2857142857142857,3.5
alan,1,4,4.0,0.25,4.0
alarm,1,5,5.0,0.2,5.0
alaska,2,6,3.0,0.3333333333333333,3.0
albania,3,7,2.3333333333333335,0.42857142857142855,2.3333333333333335
albany,2,6,3.0,0.3333333333333333,3.0
albert,2,6,3.0,0.3333333333333333,3.0
alberta,2,7,3.5,0.2857142857142857,3.5
album,1,5,5.0,0.2,5.0
albums,1,6,6.0,0.16666666666666666,6.0
albuquerque,2,11,5.5,0.18181818181818182,5.5
alcohol,2,7,3.5,0.2857142857142857,3.5
alert,1,5,5.0,0.2,5.0
alerts,1,6,6.0,0.16666666666666666,6.0
alex,1,4,4.0,0.25,4.0
alexander,2,9,4.5,0.2222222222222222,4.5
alexandria,3,10,3.3333333333333335,0.3,3.3333333333333335
alfred,2,6,3.0,0.3333333333333333,3.0
algebra,2,7,3.5,0.2857142857142857,3.5
algeria,3,7,2.3333333333333335,0.42857142857142855,2.3333333333333335
algorithm,1,9,9.0,0.1111111111111111,9.0
algorithms,2,10,5.0,0.2,5.0
